what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.compare,3.4.0.I20080604,org.eclipse.compare,1264150048984
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1264150051906
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1264150056234
started,bundle,org.eclipse.wst.dtd.core,1.1.200.v200805140200,org.eclipse.wst.dtd.core,1264150056625
started,bundle,org.eclipse.wst.sse.ui,1.1.0.v200806041847,org.eclipse.wst.sse.ui,1264150056765
started,bundle,org.eclipse.wst.html.ui,1.0.300.v200805152207,org.eclipse.wst.html.ui,1264150056796
started,bundle,org.eclipse.jst.jsp.core,1.2.100.v200806050300,org.eclipse.jst.jsp.core,1264150056984
started,bundle,org.eclipse.wst.wsdl.validation,1.1.301.v200805140300,org.eclipse.wst.wsdl.validation,1264150057203
started,bundle,org.eclipse.wst.xsd.core,1.1.300.v200805282012,org.eclipse.wst.xsd.core,1264150057234
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.paste,1264150066687
started,bundle,org.eclipse.pde.core,3.4.0.v20080604-2000,org.eclipse.pde.core,1264150086671
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1264150094265
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1264150094625
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1264150104312
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1264150117781
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1264150120796
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1264150123156
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1264150133046
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1264150356109
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.paste,1264150359625
started,bundle,org.eclipse.wst.xml.ui,1.0.400.v200806051910,org.eclipse.wst.xml.ui,1264150361687
started,bundle,org.eclipse.debug.ui,3.4.0.v20080529-1300,org.eclipse.debug.ui,1264150362515
started,bundle,org.eclipse.wst.common.uriresolver,1.1.301.v200805140415,org.eclipse.wst.common.uriresolver,1264150362656
started,bundle,org.eclipse.wst.dtd.ui,1.0.300.v200805152207,org.eclipse.wst.dtd.ui,1264150364625
opened,editor,org.eclipse.wst.xml.ui,1.0.400.v200806051910,org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart,1264150364875
